portfolio_id,project_id,section_reference,category,section,subsection,cost_related,docu_txt
231,246073,1.1,Property Description,GENERAL PROPERTY DATA - EXECUTIVE SUMMARY TABLE,,False,ADA-designated parking count - Property Data is One
231,246073,3.1,Property Characteristics,Parcel Configuration,,False,"Acreage is and comprised approximately 6.21 acres., Acreage source is Tarrant County Appraisal District"
231,246073,3.2.2,Property Characteristics,Site Improvements,"Vehicular Access, Paving",False,"ADA (including van spaces) is including one ADA-designated space,"
231,246073,5.2,Mechanical and Electrical Systems,"Heating, Ventilation, and Air Conditioning (HVAC)",,False,"Accessory Area Heating Type is Accessory areas such as mechanical rooms and vestibules were heated by ceiling-hung unit heaters., There is an Spread Reserve cost item regarding Split-system furnace/fan coil, Replace for total unit of 2 EA that have 10 years remaining useful life with total cost of 7000.0 dollars, year 10 costs $3500.0, year 11 costs $3500.0., There is an Spread Reserve cost item regarding Split-system condenser, Replace for total unit of 6 TON that have 5 years remaining useful life with total cost of 7200.0 dollars, year 5 costs $3600.0, year 6 costs $3600.0., There is an Spread Reserve cost item regarding HVAC package unit (RTU), Replace for total unit of 20 TON that have 3 years remaining useful life with total cost of 24000.0 dollars, year 3 costs $6000.0, year 4 costs $6000.0, year 5 costs $6000.0, year 6 costs $6000.0."
231,246073,4.3.1,,,,,"There is an Single-year event Reserve cost item regarding Exterior cleaning, painting, sealing for total unit of 50000 SF that have 8 years remaining useful life with total cost of 50000.0 dollars, year 8 costs $50000.0."
231,246073,5.2,Mechanical and Electrical Systems,"Heating, Ventilation, and Air Conditioning (HVAC)",,,"Accessory Area Heating Type is Accessory areas such as mechanical rooms and vestibules were heated by ceiling-hung unit heaters., There is an Spread Reserve cost item regarding Split-system furnace/fan coil, Replace for total unit of 2 EA that have 10 years remaining useful life with total cost of 7000.0 dollars, year 10 costs $3500.0, year 11 costs $3500.0., There is an Spread Reserve cost item regarding Split-system condenser, Replace for total unit of 6 TON that have 5 years remaining useful life with total cost of 7200.0 dollars, year 5 costs $3600.0, year 6 costs $3600.0., There is an Spread Reserve cost item regarding HVAC package unit (RTU), Replace for total unit of 20 TON that have 3 years remaining useful life with total cost of 24000.0 dollars, year 3 costs $6000.0, year 4 costs $6000.0, year 5 costs $6000.0, year 6 costs $6000.0."
231,246479,3.1,Property Characteristics,Parcel Configuration,,False,"Acreage is and comprised approximately 0.40 acres., Acreage source is (per the Guilford tax assessor)"
231,246479,4.3.1,,,,,"There is an Single-year event Reserve cost item regarding Exterior cleaning, painting, sealing for total unit of 15000 SF that have 5 years remaining useful life with total cost of 15000.0 dollars, year 5 costs $15000.0."
231,246479,4.4.1,,,,,"There is an Single-year event Reserve cost item regarding Roof replacement - EPDM for total unit of 12000 SF that have 5 years remaining useful life with total cost of 72000.0 dollars, year 5 costs $72000.0."
231,246479,5.2,Mechanical and Electrical Systems,"Heating, Ventilation, and Air Conditioning (HVAC)",,,"There is an Single-year event Reserve cost item regarding HVAC package unit (RTU), Replace for total unit of 67.5 TON that have 5 years remaining useful life with total cost of 81000.0 dollars, year 5 costs $81000.0."
231,246038,1.1,Property Description,GENERAL PROPERTY DATA - EXECUTIVE SUMMARY TABLE,,False,ADA-designated parking count - Property Data is Five standard ADA accessible spaces
231,246038,3.1,Property Characteristics,Parcel Configuration,,False,"Acreage is and comprised approximately 12 acres., Acreage source is (per the Butler County tax assessor)"
231,246038,3.2.2,Property Characteristics,Site Improvements,"Vehicular Access, Paving",False,"ADA (including van spaces) is five, There is an Single-year event Reserve cost item regarding Asphalt seal coat & striping for total unit of 75000 SF that have 4 years remaining useful life with total cost of 9000.0 dollars, year 4 costs $9000.0, year 9 costs $9000.0."
231,246038,3.2.2,Property Characteristics,Site Improvements,"Vehicular Access, Paving",,"ADA (including van spaces) is five, There is an Single-year event Reserve cost item regarding Asphalt seal coat & striping for total unit of 75000 SF that have 4 years remaining useful life with total cost of 9000.0 dollars, year 4 costs $9000.0, year 9 costs $9000.0."
231,246038,4.3.1,,,,,"There is an Single-year event Reserve cost item regarding Exterior cleaning, painting, sealing for total unit of 10000 SF that have 7 years remaining useful life with total cost of 10000.0 dollars, year 7 costs $10000.0."
231,246480,1.1,Property Description,GENERAL PROPERTY DATA - EXECUTIVE SUMMARY TABLE,,False,ADA-designated parking count - Property Data is 46 standard ADA accessible spaces
231,246480,3.1,Property Characteristics,Parcel Configuration,,False,"Acreage is and comprised approximately 78.81 acres., Acreage source is (per the Washoe County tax assessor)"
231,246480,3.2.2,Property Characteristics,Site Improvements,"Vehicular Access, Paving",False,"ADA (including van spaces) is 46, There is an Single-year event Reserve cost item regarding Asphalt seal coat & striping for total unit of 1258000 SF that have 3 years remaining useful life with total cost of 150960.0 dollars, year 3 costs $150960.0, year 8 costs $150960.0."
231,246480,3.2.2,Property Characteristics,Site Improvements,"Vehicular Access, Paving",,"ADA (including van spaces) is 46, There is an Single-year event Reserve cost item regarding Asphalt seal coat & striping for total unit of 1258000 SF that have 3 years remaining useful life with total cost of 150960.0 dollars, year 3 costs $150960.0, year 8 costs $150960.0."
231,246480,4.3.1,,,,,"There is an Single-year event Reserve cost item regarding Exterior cleaning, painting, sealing for total unit of 250000 SF that have 5 years remaining useful life with total cost of 250000.0 dollars, year 5 costs $250000.0."
231,246480,4.4.1,,,,,"There is an Single-year event Reserve cost item regarding Roof replacement  for total unit of 125000 SF that have 2 years remaining useful life with total cost of 750000.0 dollars, year 2 costs $750000.0."
231,246480,5.2,Mechanical and Electrical Systems,"Heating, Ventilation, and Air Conditioning (HVAC)",,,"There is an Spread Reserve cost item regarding HVAC package unit (RTU), Replace for total unit of 40 TON that have 5 years remaining useful life with total cost of 48000.0 dollars, year 5 costs $9600.0, year 6 costs $9600.0, year 7 costs $9600.0, year 8 costs $9600.0, year 9 costs $9600.0."
231,246480,5.4.1,,,,,"There is an Single-year event Reserve cost item regarding Elevator cabs interiors, Replace for total unit of 5 EA that have 5 years remaining useful life with total cost of 50000.0 dollars, year 5 costs $50000.0., There is an Single-year event Reserve cost item regarding Elevator mechanical systems, Modernize for total unit of 10 STOP that have 5 years remaining useful life with total cost of 150000.0 dollars, year 5 costs $150000.0."
231,246480,5.5.2,,,,,"There is an Single-year event Reserve cost item regarding Fire alarm panel, Replace for total unit of 2 EA that have 5 years remaining useful life with total cost of 20000.0 dollars, year 5 costs $20000.0."
231,246380,1.1,Property Description,GENERAL PROPERTY DATA - EXECUTIVE SUMMARY TABLE,,False,ADA-designated parking count - Property Data is Nine
231,246380,3.2.2,Property Characteristics,Site Improvements,"Vehicular Access, Paving",,"There is an Single-year event Reserve cost item regarding Asphalt seal coat & striping for total unit of 322000 SF that have 4 years remaining useful life with total cost of 38640.0 dollars, year 4 costs $38640.0, year 9 costs $38640.0."
231,246380,4.3.1,,,,,"There is an Single-year event Reserve cost item regarding Exterior cleaning, painting, sealing for total unit of 38000 SF that have 3 years remaining useful life with total cost of 38000.0 dollars, year 3 costs $38000.0, year 11 costs $38000.0."
231,246380,4.4.1,,,,,"There is an Single-year event Reserve cost item regarding Roof replacement - BUR for total unit of 40000 SF that have 3 years remaining useful life with total cost of 240000.0 dollars, year 3 costs $240000.0."
231,246380,5.2,Mechanical and Electrical Systems,"Heating, Ventilation, and Air Conditioning (HVAC)",,,"There is an Spread Reserve cost item regarding Split-system condenser, Replace for total unit of 4 EA that have 5 years remaining useful life with total cost of 10000.0 dollars, year 5 costs $2000.0, year 6 costs $2000.0, year 7 costs $2000.0, year 8 costs $2000.0, year 9 costs $2000.0., There is an Spread Reserve cost item regarding HVAC package unit (RTU), Replace for total unit of 108 TON that have 5 years remaining useful life with total cost of 129600.0 dollars, year 5 costs $25920.0, year 6 costs $25920.0, year 7 costs $25920.0, year 8 costs $25920.0, year 9 costs $25920.0., There is an Spread Reserve cost item regarding Evaporative coolers, Replace for total unit of 7 EA that have 5 years remaining useful life with total cost of 7000.0 dollars, year 3 costs $1400.0, year 4 costs $1400.0, year 5 costs $1400.0, year 6 costs $1400.0, year 7 costs $1400.0."
231,246380,5.5.2,,,,,"There is an Single-year event Reserve cost item regarding Fire alarm panel, Replace for total unit of 1 EA that have 5 years remaining useful life with total cost of 10000.0 dollars, year 5 costs $10000.0."
231,246061,1.1,Property Description,GENERAL PROPERTY DATA - EXECUTIVE SUMMARY TABLE,,False,ADA-designated parking count - Property Data is Six
231,246061,3.1,Property Characteristics,Parcel Configuration,,False,"Acreage is and comprised approximately 37.94 acres., Acreage source is (per the Yakima County tax assessor)"
231,246061,3.2.2,Property Characteristics,Site Improvements,"Vehicular Access, Paving",False,"ADA (including van spaces) is including six ADA-designated spaces,, There is an Single-year event Reserve cost item regarding Asphalt seal coat & striping for total unit of 575000 SF that have 3 years remaining useful life with total cost of 69000.0 dollars, year 3 costs $69000.0, year 8 costs $69000.0."
231,246061,5.2,Mechanical and Electrical Systems,"Heating, Ventilation, and Air Conditioning (HVAC)",,False,Accessory Area Heating Type is Accessory areas such as mechanical rooms and vestibules were heated by wall mounted unit heaters.
231,246061,3.2.2,Property Characteristics,Site Improvements,"Vehicular Access, Paving",,"ADA (including van spaces) is including six ADA-designated spaces,, There is an Single-year event Reserve cost item regarding Asphalt seal coat & striping for total unit of 575000 SF that have 3 years remaining useful life with total cost of 69000.0 dollars, year 3 costs $69000.0, year 8 costs $69000.0."
231,246061,4.3.1,,,,,"There is an Single-year event Reserve cost item regarding Exterior cleaning, painting, sealing for total unit of 82000 SF that have 5 years remaining useful life with total cost of 82000.0 dollars, year 5 costs $82000.0."
231,246052,1.1,Property Description,GENERAL PROPERTY DATA - EXECUTIVE SUMMARY TABLE,,False,ADA-designated parking count - Property Data is 13
231,246052,3.1,Property Characteristics,Parcel Configuration,,False,"Acreage is and comprised approximately 7.89 acres., Acreage source is per Town of Westwood Assessor"
231,246052,3.2.2,Property Characteristics,Site Improvements,"Vehicular Access, Paving",False,"ADA (including van spaces) is including 13 ADA-designated space,, There is an Single-year event Reserve cost item regarding Asphalt seal coat & parking stall striping for total unit of 190000 SF that have 5 years remaining useful life with total cost of 22800.0 dollars, year 5 costs $22800.0, year 10 costs $22800.0."
231,246052,5.2,Mechanical and Electrical Systems,"Heating, Ventilation, and Air Conditioning (HVAC)",,False,"Accessory Area Heating Type is [""""]"
231,246052,3.2.2,Property Characteristics,Site Improvements,"Vehicular Access, Paving",,"ADA (including van spaces) is including 13 ADA-designated space,, There is an Single-year event Reserve cost item regarding Asphalt seal coat & parking stall striping for total unit of 190000 SF that have 5 years remaining useful life with total cost of 22800.0 dollars, year 5 costs $22800.0, year 10 costs $22800.0."
231,246052,3.2.9,,,,,"There is an Spread Reserve cost item regarding Pool/spa heater replacement for total unit of 7 EA that have 5 years remaining useful life with total cost of 17500.0 dollars, year 5 costs $2500.0, year 6 costs $2500.0, year 7 costs $2500.0, year 8 costs $2500.0, year 9 costs $2500.0, year 10 costs $2500.0, year 11 costs $2500.0., There is an Spread Reserve cost item regarding Spa liner, Resurface for total unit of 7 EA that have 5 years remaining useful life with total cost of 21000.0 dollars, year 5 costs $3000.0, year 6 costs $3000.0, year 7 costs $3000.0, year 8 costs $3000.0, year 9 costs $3000.0, year 10 costs $3000.0, year 11 costs $3000.0., There is an Spread Reserve cost item regarding Pool/spa filtration/circulation equipment replacement for total unit of 7 EA that have 5 years remaining useful life with total cost of 12250.0 dollars, year 5 costs $1750.0, year 6 costs $1750.0, year 7 costs $1750.0, year 8 costs $1750.0, year 9 costs $1750.0, year 10 costs $1750.0, year 11 costs $1750.0., There is an Spread Reserve cost item regarding Swimming pool liner, Resurface for total unit of 7 EA that have 5 years remaining useful life with total cost of 52500.0 dollars, year 5 costs $7500.0, year 6 costs $7500.0, year 7 costs $7500.0, year 8 costs $7500.0, year 9 costs $7500.0, year 10 costs $7500.0, year 11 costs $7500.0."
231,246052,4.3.1,,,,,"There is an Single-year event Reserve cost item regarding Exterior cleaning, painting, masonry pointing, sealing for total unit of 10000 SF that have 3 years remaining useful life with total cost of 10000.0 dollars, year 3 costs $10000.0, year 11 costs $10000.0."
231,246041,1.1,Property Description,GENERAL PROPERTY DATA - EXECUTIVE SUMMARY TABLE,,False,ADA-designated parking count - Property Data is Three
231,246041,3.1,Property Characteristics,Parcel Configuration,,False,"Acreage is and comprised approximately 4.05 acres., Acreage source is Clark County Assessor"
231,246041,5.2,Mechanical and Electrical Systems,"Heating, Ventilation, and Air Conditioning (HVAC)",,False,"Accessory Area Heating Type is The warehouse areas of Building 2 are heated by ceiling-hung unit heaters., There is an Spread Reserve cost item regarding HVAC package unit (RTU), Replace for total unit of 45 TON that have 5 years remaining useful life with total cost of 54000.0 dollars, year 5 costs $9000.0, year 6 costs $9000.0, year 7 costs $9000.0, year 8 costs $9000.0, year 9 costs $9000.0, year 10 costs $9000.0."
231,246041,3.2.2,Property Characteristics,Site Improvements,"Vehicular Access, Paving",,"There is an Single-year event Reserve cost item regarding Asphalt seal coat & striping for total unit of 85000 SF that have 4 years remaining useful life with total cost of 10200.0 dollars, year 4 costs $10200.0, year 9 costs $10200.0."
231,246041,4.3.1,,,,,"There is an Single-year event Reserve cost item regarding Exterior cleaning, painting, sealing for total unit of 24000 SF that have 3 years remaining useful life with total cost of 24000.0 dollars, year 3 costs $24000.0, year 11 costs $24000.0."
231,246041,4.4.1,,,,,"There is an Spread Reserve cost item regarding Foam roof, Replace for total unit of 39000 SF that have 5 years remaining useful life with total cost of 117000.0 dollars, year 5 costs $39000.0, year 6 costs $39000.0, year 7 costs $39000.0."
231,246041,5.2,Mechanical and Electrical Systems,"Heating, Ventilation, and Air Conditioning (HVAC)",,,"Accessory Area Heating Type is The warehouse areas of Building 2 are heated by ceiling-hung unit heaters., There is an Spread Reserve cost item regarding HVAC package unit (RTU), Replace for total unit of 45 TON that have 5 years remaining useful life with total cost of 54000.0 dollars, year 5 costs $9000.0, year 6 costs $9000.0, year 7 costs $9000.0, year 8 costs $9000.0, year 9 costs $9000.0, year 10 costs $9000.0."
231,246478,1.1,Property Description,GENERAL PROPERTY DATA - EXECUTIVE SUMMARY TABLE,,False,ADA-designated parking count - Property Data is Eight
231,246478,3.1,Property Characteristics,Parcel Configuration,,False,"Acreage is and comprised approximately 13.17 acres., Acreage source is (per the Catawba County tax assessor)"
231,246478,3.2.2,Property Characteristics,Site Improvements,"Vehicular Access, Paving",False,"ADA (including van spaces) is including eight ADA-designated spaces,, There is an Single-year event Reserve cost item regarding Asphalt seal coat & striping for total unit of 103000 SF that have 4 years remaining useful life with total cost of 12360.0 dollars, year 4 costs $12360.0, year 9 costs $12360.0."
231,246478,3.2.2,Property Characteristics,Site Improvements,"Vehicular Access, Paving",,"ADA (including van spaces) is including eight ADA-designated spaces,, There is an Single-year event Reserve cost item regarding Asphalt seal coat & striping for total unit of 103000 SF that have 4 years remaining useful life with total cost of 12360.0 dollars, year 4 costs $12360.0, year 9 costs $12360.0."
231,246478,4.3.1,,,,,"There is an Single-year event Reserve cost item regarding Exterior cleaning, painting, masonry pointing, sealing for total unit of 75000 SF that have 5 years remaining useful life with total cost of 75000.0 dollars, year 5 costs $75000.0."
231,246478,5.2,Mechanical and Electrical Systems,"Heating, Ventilation, and Air Conditioning (HVAC)",,,"There is an Single-year event Reserve cost item regarding HVAC package unit (RTU), Replace for total unit of 50 TON that have 12 years remaining useful life with total cost of 60000.0 dollars, year 12 costs $60000.0."
231,246083,5.2,Mechanical and Electrical Systems,"Heating, Ventilation, and Air Conditioning (HVAC)",,False,"Accessory Area Heating Type is Accessory areas such as mechanical rooms and vestibules were heated by wall mounted unit heaters., There is an Spread Reserve cost item regarding Chiller Refurbish CH1, CH2, CH3 Water Loop for total unit of 3 EA that have 5 years remaining useful life with total cost of 225000.0 dollars, year 5 costs $75000.0, year 6 costs $75000.0, year 7 costs $75000.0., There is an Spread Reserve cost item regarding Boiler Replace, Steam for total unit of 2 EA that have 5 years remaining useful life with total cost of 100000.0 dollars, year 5 costs $50000.0, year 6 costs $50000.0., There is an Single-year event Reserve cost item regarding Air Handler Allowance Replace for total unit of 1 ALLOW that have 5 years remaining useful life with total cost of 35000.0 dollars, year 5 costs $35000.0., There is an Spread Reserve cost item regarding Boiler Replace MER-2 Gycol Hydronic for total unit of 2 EA that have 5 years remaining useful life with total cost of 100000.0 dollars, year 5 costs $50000.0, year 6 costs $50000.0., There is an Single-year event Reserve cost item regarding Cooling tower, Replace for total unit of 2000 TON that have 5 years remaining useful life with total cost of 300000.0 dollars, year 5 costs $300000.0., There is an Single-year event Reserve cost item regarding Pump Allowance Refurbish for total unit of 1 ALLOW that have 5 years remaining useful life with total cost of 2500.0 dollars, year 5 costs $2500.0."
231,246083,3.2.10,,,,,"There is an Single-year event Reserve cost item regarding Sewage Treatment Aerator Rebuild for total unit of 7 EA that have 12 years remaining useful life with total cost of 17500.0 dollars, year 12 costs $17500.0., There is an Single-year event Reserve cost item regarding Well Pump Rebuild for total unit of 2 EA that have 10 years remaining useful life with total cost of 7000.0 dollars, year 10 costs $7000.0."
231,246083,3.2.2,Property Characteristics,Site Improvements,"Vehicular Access, Paving",,"There is an Single-year event Reserve cost item regarding Asphalt overlay for total unit of 5000 SF that have 5 years remaining useful life with total cost of 10000.0 dollars, year 5 costs $10000.0."
231,246083,4.3.1,,,,,"There is an Single-year event Reserve cost item regarding Exterior wall painting for total unit of 25000 SF that have 10 years remaining useful life with total cost of 25000.0 dollars, year 10 costs $25000.0., There is an Single-year event Reserve cost item regarding Pre-Cast Panel Joint Replacement for total unit of 5000 LF that have 2 years remaining useful life with total cost of 22500.0 dollars, year 2 costs $22500.0."
231,246083,4.4.1,,,,,"There is an Single-year event Reserve cost item regarding Roof replacement - EPDM 2nd Flr and Other Misc. Areas for total unit of 100000 SF that have 12 years remaining useful life with total cost of 600000.0 dollars, year 12 costs $600000.0., There is an Spread Reserve cost item regarding Roof replacement - Ballasted EPDM First Floor Roof for total unit of 202500 SF that have 10 years remaining useful life with total cost of 1215000.0 dollars, year 10 costs $607500.0, year 11 costs $607500.0., There is an Single-year event Reserve cost item regarding Roof Maintenance Foam High Bay Allowance for total unit of 1 ALLOW that have 2 years remaining useful life with total cost of 4000.0 dollars, year 2 costs $4000.0, year 4 costs $4000.0, year 6 costs $4000.0, year 8 costs $4000.0, year 10 costs $4000.0, year 12 costs $4000.0."
231,246083,5.1,,,,,"There is an Spread Reserve cost item regarding Replace Domestic Water Booster Pumps for total unit of 2 EA that have 5 years remaining useful life with total cost of 1900.0 dollars, year 10 costs $950.0, year 11 costs $950.0., There is an Spread Reserve cost item regarding Replace Steam Heat Exchangers (Aerco MER-2 South) for total unit of 2 EA that have 7 years remaining useful life with total cost of 30000.0 dollars, year 3 costs $15000.0, year 4 costs $15000.0., There is an Spread Reserve cost item regarding Sewage Ejector Pumps for total unit of 10 EA that have 10 years remaining useful life with total cost of 15000.0 dollars, year 10 costs $7500.0, year 11 costs $7500.0."
231,246083,5.2,Mechanical and Electrical Systems,"Heating, Ventilation, and Air Conditioning (HVAC)",,,"Accessory Area Heating Type is Accessory areas such as mechanical rooms and vestibules were heated by wall mounted unit heaters., There is an Spread Reserve cost item regarding Chiller Refurbish CH1, CH2, CH3 Water Loop for total unit of 3 EA that have 5 years remaining useful life with total cost of 225000.0 dollars, year 5 costs $75000.0, year 6 costs $75000.0, year 7 costs $75000.0., There is an Spread Reserve cost item regarding Boiler Replace, Steam for total unit of 2 EA that have 5 years remaining useful life with total cost of 100000.0 dollars, year 5 costs $50000.0, year 6 costs $50000.0., There is an Single-year event Reserve cost item regarding Air Handler Allowance Replace for total unit of 1 ALLOW that have 5 years remaining useful life with total cost of 35000.0 dollars, year 5 costs $35000.0., There is an Spread Reserve cost item regarding Boiler Replace MER-2 Gycol Hydronic for total unit of 2 EA that have 5 years remaining useful life with total cost of 100000.0 dollars, year 5 costs $50000.0, year 6 costs $50000.0., There is an Single-year event Reserve cost item regarding Cooling tower, Replace for total unit of 2000 TON that have 5 years remaining useful life with total cost of 300000.0 dollars, year 5 costs $300000.0., There is an Single-year event Reserve cost item regarding Pump Allowance Refurbish for total unit of 1 ALLOW that have 5 years remaining useful life with total cost of 2500.0 dollars, year 5 costs $2500.0."
231,246083,5.5.1,,,,,"There is an Spread Reserve cost item regarding Rebuild Existing Fire Pumps for total unit of 3 EA that have 5 years remaining useful life with total cost of 7500.0 dollars, year 5 costs $2500.0, year 6 costs $2500.0, year 7 costs $2500.0."
231,246083,5.5.2,,,,,"There is an Single-year event Reserve cost item regarding Fire alarm panel, Replace for total unit of 1 EA that have 10 years remaining useful life with total cost of 10000.0 dollars, year 10 costs $10000.0."
231,246079,1.1,Property Description,GENERAL PROPERTY DATA - EXECUTIVE SUMMARY TABLE,,False,ADA-designated parking count - Property Data is Three standard ADA accessible spaces
231,246079,3.1,Property Characteristics,Parcel Configuration,,False,"Acreage is and comprised approximately 12.50 acres., Acreage source is (per the Cook County tax assessor)"
231,246079,3.2.2,Property Characteristics,Site Improvements,"Vehicular Access, Paving",False,"ADA (including van spaces) is three, There is an Single-year event Reserve cost item regarding Asphalt overlay for total unit of 75000 SF that have 1 years remaining useful life with total cost of 112500.0 dollars, year 1 costs $112500.0., There is an Single-year event Reserve cost item regarding Asphalt sealcoat & striping for total unit of 75000 SF that have 2 years remaining useful life with total cost of 9000.0 dollars, year 2 costs $9000.0, year 7 costs $9000.0, year 12 costs $9000.0."
231,246079,3.2.2,Property Characteristics,Site Improvements,"Vehicular Access, Paving",,"ADA (including van spaces) is three, There is an Single-year event Reserve cost item regarding Asphalt overlay for total unit of 75000 SF that have 1 years remaining useful life with total cost of 112500.0 dollars, year 1 costs $112500.0., There is an Single-year event Reserve cost item regarding Asphalt sealcoat & striping for total unit of 75000 SF that have 2 years remaining useful life with total cost of 9000.0 dollars, year 2 costs $9000.0, year 7 costs $9000.0, year 12 costs $9000.0."
231,246079,4.3.1,,,,,"There is an Single-year event Reserve cost item regarding Exterior cleaning, painting, sealing for total unit of 95000 SF that have 9 years remaining useful life with total cost of 95000.0 dollars, year 9 costs $95000.0."
231,246079,4.4.1,,,,,"There is an Single-year event Reserve cost item regarding Roof replacement - EPDM for total unit of 300000 SF that have 5 years remaining useful life with total cost of 1800000.0 dollars, year 5 costs $1800000.0."
231,246079,5.2,Mechanical and Electrical Systems,"Heating, Ventilation, and Air Conditioning (HVAC)",,,"There is an Single-year event Reserve cost item regarding HVAC package unit (RTU), Replace for total unit of 25 TON that have 5 years remaining useful life with total cost of 30000.0 dollars, year 5 costs $30000.0."
231,246074,1.1,Property Description,GENERAL PROPERTY DATA - EXECUTIVE SUMMARY TABLE,,False,ADA-designated parking count - Property Data is 14 standard ADA accessible spaces
231,246074,3.1,Property Characteristics,Parcel Configuration,,False,"Acreage is and comprised approximately 16.725 acres., Acreage source is (per the Franklin County Auditor)"
231,246074,3.2.2,Property Characteristics,Site Improvements,"Vehicular Access, Paving",False,"ADA (including van spaces) is 14, There is an Single-year event Reserve cost item regarding Asphalt seal coat & striping for total unit of 270000 SF that have 4 years remaining useful life with total cost of 32400.0 dollars, year 4 costs $32400.0, year 9 costs $32400.0."
231,246074,5.2,Mechanical and Electrical Systems,"Heating, Ventilation, and Air Conditioning (HVAC)",,False,"Accessory Area Heating Type is Accessory areas such as mechanical rooms and vestibules were heated by wall mounted unit heaters., There is an Spread Reserve cost item regarding HVAC package unit (RTU), Replace for total unit of 225 TON that have 6 years remaining useful life with total cost of 0.0 dollars."
231,246074,3.2.2,Property Characteristics,Site Improvements,"Vehicular Access, Paving",,"ADA (including van spaces) is 14, There is an Single-year event Reserve cost item regarding Asphalt seal coat & striping for total unit of 270000 SF that have 4 years remaining useful life with total cost of 32400.0 dollars, year 4 costs $32400.0, year 9 costs $32400.0."
231,246074,3.2.9,,,,,"There is an Spread Reserve cost item regarding Swimming pool liner, Resurface for total unit of 2 EA that have 5 years remaining useful life with total cost of 24000.0 dollars, year 5 costs $12000.0, year 6 costs $12000.0., There is an Spread Reserve cost item regarding Pool/spa filtration/circulation equipment replacement for total unit of 4 EA that have 3 years remaining useful life with total cost of 6000.0 dollars, year 3 costs $1500.0, year 4 costs $1500.0, year 5 costs $1500.0, year 6 costs $1500.0., There is an Spread Reserve cost item regarding Spa liner, Resurface for total unit of 2 EA that have 5 years remaining useful life with total cost of 6000.0 dollars, year 5 costs $3000.0, year 6 costs $3000.0."
231,246074,4.3.1,,,,,"There is an Single-year event Reserve cost item regarding Exterior cleaning, painting, sealing for total unit of 25000 SF that have 4 years remaining useful life with total cost of 25000.0 dollars, year 4 costs $25000.0, year 12 costs $25000.0."
231,246074,4.4.1,,,,,"There is an Single-year event Reserve cost item regarding Roof replacement - BUR for total unit of 62180 SF that have 6 years remaining useful life with total cost of 373080.0 dollars, year 6 costs $373080.0."
231,246074,5.2,Mechanical and Electrical Systems,"Heating, Ventilation, and Air Conditioning (HVAC)",,,"Accessory Area Heating Type is Accessory areas such as mechanical rooms and vestibules were heated by wall mounted unit heaters., There is an Spread Reserve cost item regarding HVAC package unit (RTU), Replace for total unit of 225 TON that have 6 years remaining useful life with total cost of 0.0 dollars."
231,246074,5.4.1,,,,,"There is an Single-year event Reserve cost item regarding Elevator cabs interiors, Replace for total unit of 1 EA that have 3 years remaining useful life with total cost of 10000.0 dollars, year 3 costs $10000.0."
231,246481,1.1,Property Description,GENERAL PROPERTY DATA - EXECUTIVE SUMMARY TABLE,,False,ADA-designated parking count - Property Data is Two
231,246481,3.1,Property Characteristics,Parcel Configuration,,False,"Acreage is and comprised approximately 13.48 acres., Acreage source is Talladega County Tax Assessor"
231,246481,3.2.2,Property Characteristics,Site Improvements,"Vehicular Access, Paving",False,"ADA (including van spaces) is including three ADA-designated space,, There is an Single-year event Reserve cost item regarding Asphalt overlay for total unit of 58000 SF that have 5 years remaining useful life with total cost of 116000.0 dollars, year 5 costs $116000.0., There is an Single-year event Reserve cost item regarding Asphalt seal coat & striping for total unit of 58000 SF that have 5 years remaining useful life with total cost of 6960.0 dollars, year 5 costs $6960.0, year 10 costs $6960.0."
231,246481,5.2,Mechanical and Electrical Systems,"Heating, Ventilation, and Air Conditioning (HVAC)",,False,"Accessory Area Heating Type is No other heating systems were provided., There is an Spread Reserve cost item regarding HVAC package unit (RTU), Replace for total unit of 84 TON that have 5 years remaining useful life with total cost of 100800.0 dollars, year 3 costs $16800.0, year 4 costs $16800.0, year 5 costs $16800.0, year 6 costs $16800.0, year 7 costs $16800.0, year 8 costs $16800.0."
