id,name,created_at,updated_at,a_column,b_column,c_column,d_column,e_column,f_column,g_column,h_column,i_column,j_column,k_column,l_column,m_column,n_column,o_column,p_column,q_column,r_column,s_column,t_column,u_column,v_column,tab_name,content_type,the_cell,project_id,spreadsheet_name,user_id,three_months,year_1,year_2,year_3,year_4,year_5,year_6,year_7,year_8,year_9,year_10,year_11,year_12,year_3_thru_12,year_1_thru_12,w_column,x_column,y_column,z_column,aa_column,ab_column,short_term,total,section_reference,building_id,year_13,year_14,year_15,year_16,year_17,year_18,year_19,year_20,year_21,year_22,year_23,year_24,year_25,year_26,year_27,year_28,year_29,year_30,year_31,year_32,year_33,year_34,year_35,year_36,year_37,year_38,year_39,year_40,year_41,year_42,year_43,year_44,year_45,year_46,year_47,year_48,year_49,year_50,edited_years,project_scope_id
1958709,Long-term,2023-04-13 16:37:17,2023-04-13 21:32:47,4.3.1,"Exterior cleaning, painting, sealing (after table 1)",8,0,8,24950,SF,1.6,,Single-year event,0,0,,,,,,,,,,,,,,526963,,1013.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39920.0,0.0,0.0,0.0,0.0,39920.0,39920.0,,,,,,pca_reserve_desc_53b,,39920.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,509309.0
1958908,Long-term,2023-04-13 21:56:02,2023-04-14 19:43:05,4.4.1,"Replace, skylights",15,13,2,12,EA,3500,,Single-year event,,,,,,,,,,,,,,,,526963,,1013.0,,0.0,42000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42000.0,,,,,,pca_reserve_desc_18b,,42000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,509309.0
1963904,Long-term,2023-04-27 21:34:27,2023-05-02 20:56:28,4.4.1,Annual roof maintenance including coating of corrugated metal awnings. ,1.0,0,1.0,24886,SF,.1,,Single-year event,,,,,,,,,,,,,,,,526963,,2473.0,,2488.6,2488.6,2488.6,2488.6,2488.6,2488.6,2488.6,2488.6,2488.6,2488.6,2488.6,2488.6,24886.0,29863.2,,,,,,pca_reserve_desc_18b,,29863.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,509309.0
1958433,Long-term,2023-04-12 19:34:10,2023-04-27 22:40:13,3.2.2,"Asphalt seal coat & striping (after table 1 proposed repairs, seal coat and striping)",5,0,5.0,14300,SF,.5,,Single-year event,0,0,,,,,,,,,,,,,,526963,,1013.0,,0.0,0.0,0.0,0.0,7150.0,0.0,0.0,0.0,0.0,7150.0,0.0,0.0,14300.0,14300.0,,,,,,pca_reserve_desc_50b,,14300.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,509309.0
1963916,Long-term,2023-04-27 21:47:34,2023-04-27 22:40:13,4.3.1,Repair and maintenance of loading dock doors and equipment. ,20.0,10,10.0,4,EA,5000,,Single-year event,,,,,,,,,,,,,,,,526963,,2473.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20000.0,0.0,0.0,20000.0,20000.0,,,,,,pca_reserve_desc_53b,,20000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,509309.0
1958662,Short-term,2023-04-13 15:43:34,2023-04-27 21:17:19,6.4,The internal water intrusion includes areas of damaged carpet and possible gypsum board. Repair and replacement of all water damaged interior elements is recommended (waterproofing budget). ,Immediate (0-12 months),1,EA,5000,5000.0,0.0,,,,,,,,,,,,,,,,,,526963,,1013.0,,,,,,,,,,,,,,,,,,,,,64ab_conddesc,,5000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,509309.0
1958708,Short-term,2023-04-13 16:35:05,2023-04-13 21:32:47,4.3.1,"There was reported and observed water intrusion along the east elevation central and southeast walls, and the southern walls, near the fire riser. The total east walls were mainly at the window areas. There were cracks on the walls where the water intrusion was located. The central east wall intrusion was at both the grade level and the upper mezzanine level. The southeast and south elevation intrusion was at grade level. Repair of the damage areas to include windows sealant replacement (Waterproofing Budget).

",Immediate (0-12 months),1,LS,10000,10000.0,0.0,,,,,,,,,,,,,,,,,,526963,,1013.0,,,,,,,,,,,,,,,,,,,,,describe_facade_issues_in_complete_sentences_43,,10000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,509309.0
1958513,Short-term,2023-04-12 21:33:52,2023-05-02 20:52:26,5.2,"The package units had indications of wear.  Per discussion with the maintenance/contractor, replacement is planned. Additionally based on the subject's general location to the ocean, acceleration of exposure to the elements has reduced the units EUL. Replacement of the HVAC package units is recommended. ",Short-term (12-24 months),15,Ton,2600,0.0,39000.0,,,,,,,,,,,,,,,,,,526963,,1013.0,,,,,,,,,,,,,,,,,,,,,52c_pu_conddesc,,39000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,509309.0
1958796,Short-term,2023-04-13 19:08:51,2023-04-13 21:32:47,5.1,"There was a broken discharge pipe at the south elevation of the structure. It is recommended that the broken pipe be repaired. 
",Immediate (0-12 months),1,EA,250,250.0,0.0,,,,,,,,,,,,,,,,,,526963,,1013.0,,,,,,,,,,,,,,,,,,,,,51ac_conddesc,,250.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,509309.0
1965122,Short-term,2023-05-02 20:36:00,2023-05-02 20:43:02,2.3,"According to a report from the Oxnard Fire Department, the Fire Alarm at 1401 Steller Drive is overdue for inspection, last renewal date 4/3/21. The inspection should be performed by a licensed company and the test results should be submitted to the City of Oxnard.",Immediate (0-12 months),1,EA,1500,1500.0,0.0,,,,,,,,,,,,,,,,,,526963,,949.0,,,,,,,,,,,,,,,,,,,,,23e_fire_life_safety_findings,,1500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,509309.0
1958722,Short-term,2023-04-13 16:50:17,2023-04-27 21:23:20,4.3.2,There was a broken window located at the southeast corner warehouse area. Replacement of the broken window is recommended. Damaged chain link fencing should be replaced. ,Short-term (12-24 months),1,LS,1500,0.0,1500.0,,,,,,,,,,,,,,,,,,526963,,1013.0,,,,,,,,,,,,,,,,,,,,,describe_window_issues_in_complete_sentences_43,,1500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,509309.0
1958876,Short-term,2023-04-13 21:05:07,2023-04-13 21:32:47,4.4.1,"Due to the mounted equipment on the roof and areas of the parapet being below 42"" in height, it is recommended that a yellow safety strip be painted along the roof's perimeter low points, three feet from the parapet wall.

",Immediate (0-12 months),500,LF,3,1500.0,0.0,,,,,,,,,,,,,,,,,,526963,,1013.0,,,,,,,,,,,,,,,,,,,,,441f_rfconddesc,,1500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,509309.0
1958462,Short-term,2023-04-12 20:23:25,2023-04-27 21:17:19,3.2.4,"Barren turf was observed throughout the site typical of conditions noted to the south elevation of the structure. Refurbishment of the turf is recommended.
",Short-term (12-24 months),800,SF,3,0,2400.0,,,,,,,,,,,,,,,,,,526963,,1013.0,,,,,,,,,,,,,,,,,,,,,324g_def_desc,,2400.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,509309.0
1958885,Short-term,2023-04-13 21:20:04,2023-04-13 21:32:47,4.4.2,"The drain covers and roofing material was worn and cracked and vegetation was growing in the drains at the southeast and northwest elevation drains. Clearing the drains and as-needed replace of the drains  during the roof replacement process is recommended. 
A roof maintenance program has just been implemented, which includes cleaning of the roof. It is recommended that the roof maintenance company be contacted to complete the cleaning of the drains.
Additionally once the roof has been replaced, it is recommended that the roof maintenance agreement be amended to comply to the new roofs manufacturers requirements. ",Immediate (0-12 months),1,EA,0,0.0,0.0,,,,,,,,,,,,,,,,,,526963,,1013.0,,,,,,,,,,,,,,,,,,,,,442p_drain_conddesc,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,509309.0
1958886,Short-term,2023-04-13 21:23:26,2023-04-27 21:30:56,4.4.3,The roof hatch is missing safety railing. Installation of roof hatch railing is recommended. ,Immediate (0-12 months),1,EA,4500,4500.0,0.0,,,,,,,,,,,,,,,,,,526963,,1013.0,,,,,,,,,,,,,,,,,,,,,443_roof_mounted_equipment_conddesc,,4500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,509309.0
1951034,Short-term,2023-03-21 23:55:55,2023-05-02 20:49:24,3.2.2,"** Asphalt repair - $25,000, 2023. Partner takes no exception to the cost as presented and has included it in the cost tables.",Immediate (0-12 months),1,Budget,25000,25000.0,0.0,,,,,,,,,,,,,,,,,,526963,,2443.0,,,,,,,,,,,,,,,,,,,,,322s_pavement_def,,25000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,509309.0
1951035,Short-term,2023-03-21 23:58:47,2023-04-14 19:43:05,4.3.1,"** Waterproofing  - $15,000, 2023.Partner takes no exception to the cost. The budget will be broken out at line item cost for water intrusion repairs (referenced as waterproofing as separate line items).",Immediate (0-12 months),,,,0.0,0.0,,,,,,,,,,,,,,,,,,526963,,2443.0,,,,,,,,,,,,,,,,,,,,,describe_facade_issues_in_complete_sentences_43,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,509309.0
1958797,Short-term,2023-04-13 19:09:10,2023-04-13 21:32:47,5.1,There was a safety cage at the water supply anti-syphoning east elevation location that was broken and is disconnected from the base. Repair or replacement of the safety cage is recommended. ,Immediate (0-12 months),1,EA,250,250.0,0.0,,,,,,,,,,,,,,,,,,526963,,1013.0,,,,,,,,,,,,,,,,,,,,,51ac_conddesc,,250.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,509309.0
1958854,Short-term,2023-04-13 20:33:37,2023-04-27 21:24:55,4.4.3,The skylights were not provided with fall protection around them. It is recommended that fall protection be installed. ,Immediate (0-12 months),12,EA,700,8400.0,0.0,,,,,,,,,,,,,,,,,,526963,,1013.0,,,,,,,,,,,,,,,,,,,,,443_skylight_conddesc,,8400.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,509309.0
1958875,Short-term,2023-04-13 21:01:15,2023-04-13 21:32:47,4.4.1,"Installation of parapet coping. 

",Immediate (0-12 months),740,LF,10,7400.0,0.0,,,,,,,,,,,,,,,,,,526963,,1013.0,,,,,,,,,,,,,,,,,,,,,441f_rfconddesc,,7400.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,509309.0
1958463,Short-term,2023-04-12 20:24:00,2023-04-27 21:21:59,3.2.4,"Trees, shrubs and Ivy (growing on the walls) were observed impeding on the building rooftop and façade at points along the north, south and east walls. No portion of any vegetation should be in contact with the building exterior. It is recommended that the trees and shrubs be trimmed back and the ivy removed.
",Short-term (12-24 months),1,LS,3000,0.0,3000.0,,,,,,,,,,,,,,,,,,526963,,1013.0,,,,,,,,,,,,,,,,,,,,,324g_def_desc,,3000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,509309.0
1958704,Short-term,2023-04-13 16:28:45,2023-04-13 21:32:47,4.3.1,"Exterior paint was chipping at various points along the perimeter walls and what appears to be graffiti coverup was located along the south elevation wall. A complete repaint of the exterior is recommended. If graffiti is an ongoing issue, painting with a ""graffiti resistant paint"" is recommended. 

",Short-term (12-24 months),24950,SF,1.60,0.0,39920.0,,,,,,,,,,,,,,,,,,526963,,1013.0,,,,,,,,,,,,,,,,,,,,,describe_facade_issues_in_complete_sentences_43,,39920.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,509309.0
1958706,Short-term,2023-04-13 16:33:43,2023-04-27 21:21:59,4.3.1,"The concrete wall panel joint calking was observed to be worn and cracked throughout the structure. Replacement of the wall panel joint caulking is recommended.

",Short-term (12-24 months),1025,LF,8,0.0,8200.0,,,,,,,,,,,,,,,,,,526963,,1013.0,,,,,,,,,,,,,,,,,,,,,describe_facade_issues_in_complete_sentences_43,,8200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,509309.0
1958465,Short-term,2023-04-12 20:26:34,2023-04-13 15:38:54,3.2.4,Barren turf was observed throughout the site. Testing the irrigation system for proper operation to include as-need repairs is recommended. ,Immediate (0-12 months),1,EA,1000,1000.0,0.0,,,,,,,,,,,,,,,,,,526963,,1013.0,,,,,,,,,,,,,,,,,,,,,324m_irrigation_conddesc,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,509309.0
1963912,Short-term,2023-04-27 21:43:06,2023-04-27 22:40:13,4.2,Foil insulation was noted at the roof structure: this should be inspected for structural damage (rust of subpurlin hangers) and cut back to allow for air movement/drainage of any condensation.,Immediate (0-12 months),1,ADVISORY,0,0.0,0.0,,,,,,,,,,,,,,,,,,526963,,2473.0,,,,,,,,,,,,,,,,,,,,,describe_structural_issues_in_complete_sentences_42,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,509309.0
1958871,Short-term,2023-04-13 21:00:13,2023-04-27 21:30:56,4.4.1,"The low slope roof was in poor condition. The cap sheet had lost a considerable amount of the granules, was cracked and worn at varying locations throughout. Additionally, the roof was reported to have leaks through its surface and is suspected to be one of the main contributing factors to the water infiltrations along the east and south walls. Roof overlay with TPO is recommended 

",Immediate (0-12 months),24886,SF,8,199088.0,0.0,,,,,,,,,,,,,,,,,,526963,,1013.0,,,,,,,,,,,,,,,,,,,,,441f_rfconddesc,,199088.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,509309.0
1958732,Short-term,2023-04-13 17:19:08,2023-04-13 21:32:47,4.3.3,"The overhead door ramp access location was reported to have water intrusion issues at the bottom base of the door. The doors at the north and south corners have storm water grates at the entrance points. The channels were observed to be littered with debris, had vegetative growth and sections of the metal grates were missing. This is believed to be the contributing factor for the water intrusion. Clearing the channels of the debris, vegetative growth, pressure jet cleaning the outlets and replacing the missing grates is recommended. ",Immediate (0-12 months),1,LS,1500,1500.0,0.0,,,,,,,,,,,,,,,,,,526963,,1013.0,,,,,,,,,,,,,,,,,,,,,describe_door_issues_in_complete_sentences_43,,1500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,509309.0
